time,v(Vout),v(V1)
6.055E-08,0.502530862,0.51
6.065E-08,0.502533659,0.51
6.075E-08,0.502536456,0.51
6.085E-08,0.502539253,0.51
6.095E-08,0.502542048,0.51
6.105E-08,0.502544842,0.51
6.115E-08,0.502547636,0.51
6.125E-08,0.502550429,0.51
6.135E-08,0.502553221,0.51
6.145E-08,0.502556013,0.51
6.155E-08,0.502558803,0.51
6.165E-08,0.502561593,0.51
6.175E-08,0.502564382,0.51
6.185E-08,0.50256717,0.51
6.195E-08,0.502569957,0.51
6.205E-08,0.502572744,0.51
6.215E-08,0.50257553,0.51
6.225E-08,0.502578314,0.51
6.235E-08,0.502581098,0.51
6.245E-08,0.502583881,0.51
6.255E-08,0.502586664,0.51
6.265E-08,0.502589445,0.51
6.275E-08,0.502592226,0.51
6.285E-08,0.502595005,0.51
6.295E-08,0.502597784,0.51
6.305E-08,0.502600562,0.51
6.315E-08,0.502603339,0.51
6.325E-08,0.502606116,0.51
6.335E-08,0.502608891,0.51
6.345E-08,0.502611666,0.51
6.355E-08,0.502614439,0.51
6.365E-08,0.502617212,0.51
6.375E-08,0.502619984,0.51
6.385E-08,0.502622755,0.51
6.395E-08,0.502625525,0.51
6.405E-08,0.502628294,0.51
6.415E-08,0.502631063,0.51
6.425E-08,0.50263383,0.51
6.435E-08,0.502636597,0.51
6.445E-08,0.502639363,0.51
6.455E-08,0.502642127,0.51
6.465E-08,0.502644891,0.51
6.475E-08,0.502647654,0.51
6.485E-08,0.502650416,0.51
6.495E-08,0.502653178,0.51
6.505E-08,0.502655938,0.51
6.515E-08,0.502658697,0.51
6.525E-08,0.502661456,0.51
6.535E-08,0.502664213,0.51
6.545E-08,0.50266697,0.51
6.555E-08,0.502669726,0.51
6.565E-08,0.502672481,0.51
6.575E-08,0.502675234,0.51
6.585E-08,0.502677987,0.51
6.595E-08,0.50268074,0.51
6.605E-08,0.502683491,0.51
6.615E-08,0.502686241,0.51
6.625E-08,0.50268899,0.51
6.635E-08,0.502691739,0.51
6.645E-08,0.502694486,0.51
6.655E-08,0.502697233,0.51
6.665E-08,0.502699978,0.51
6.675E-08,0.502702723,0.51
6.685E-08,0.502705467,0.51
6.695E-08,0.50270821,0.51
6.705E-08,0.502710952,0.51
6.715E-08,0.502713693,0.51
